benchmark,file,result,numberOfVariables,reps,numberOfClauses,height,ucNumberOfVariables,ucReps,ucNumberOfClauses,ucHeight
FASTJSON-104_1,smt-24,SAT,35,76,123,96,0,0,0,0
FASTJSON-104_1,smt-46,SAT,8,26,23,9,0,0,0,0
FASTJSON-104_1,smt-73,SAT,58,163,214,96,0,0,0,0
FASTJSON-104_1,smt-33,SAT,22,75,66,9,0,0,0,0
FASTJSON-104_1,smt-66,SAT,39,87,139,96,0,0,0,0
FASTJSON-104_1,smt-96,SAT,19,54,47,9,0,0,0,0
FASTJSON-104_1,smt-9,SAT,4,12,13,8,0,0,0,0
FASTJSON-104_1,smt-4,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-91,UNSAT,91,380,327,96,2,2,3,3
FASTJSON-104_1,smt-32,SAT,42,103,154,96,0,0,0,0
FASTJSON-104_1,smt-43,SAT,35,76,123,96,0,0,0,0
FASTJSON-104_1,smt-28,SAT,5,14,17,8,0,0,0,0
FASTJSON-104_1,smt-93,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-102,UNKNOWN,528,1676,1542,96,0,0,0,0
FASTJSON-104_1,smt-8,SAT,8,12,17,8,0,0,0,0
FASTJSON-104_1,smt-44,SAT,37,84,135,96,0,0,0,0
FASTJSON-104_1,smt-47,SAT,49,131,181,96,0,0,0,0
FASTJSON-104_1,smt-39,SAT,49,131,180,96,0,0,0,0
FASTJSON-104_1,smt-98,SAT,54,147,199,96,0,0,0,0
FASTJSON-104_1,smt-99,UNSAT,720,4208,2211,96,2,2,3,3
FASTJSON-104_1,smt-80,SAT,53,132,193,96,0,0,0,0
FASTJSON-104_1,smt-90,SAT,49,131,181,96,0,0,0,0
FASTJSON-104_1,smt-94,UNSAT,526,1676,1539,96,2,2,3,3
FASTJSON-104_1,smt-97,UNSAT,290,792,865,96,5,2,6,4
FASTJSON-104_1,smt-1,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-83,SAT,54,137,197,96,0,0,0,0
FASTJSON-104_1,smt-42,SAT,48,126,177,96,0,0,0,0
FASTJSON-104_1,smt-11,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-22,SAT,7,22,20,9,0,0,0,0
FASTJSON-104_1,smt-18,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-104_1,smt-10,SAT,8,12,17,8,0,0,0,0
FASTJSON-104_1,smt-100,UNSAT,230,627,703,96,5,2,6,4
FASTJSON-104_1,smt-101,UNSAT,327,890,965,96,2,2,3,3
FASTJSON-104_1,smt-65,SAT,91,230,309,96,0,0,0,0
FASTJSON-104_1,smt-95,UNSAT,778,5234,2401,96,7,2,7,3
FASTJSON-104_1,smt-12,SAT,46,118,164,96,0,0,0,0
FASTJSON-104_1,smt-92,UNKNOWN,234,627,709,96,0,0,0,0
FASTJSON-104_1,smt-87,UNKNOWN,239,634,721,96,0,0,0,0
FASTJSON-104_1,smt-88,UNKNOWN,420,1158,1252,96,0,0,0,0
FASTJSON-105_1,smt-109,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-11,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-110,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-107,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-106,SAT,13,37,32,9,0,0,0,0
FASTJSON-105_1,smt-111,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-104,SAT,18,44,40,9,0,0,0,0
FASTJSON-105_1,smt-108,SAT,16,55,46,9,0,0,0,0
FASTJSON-105_1,smt-114,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-100,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-10,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-112,SAT,18,44,40,9,0,0,0,0
FASTJSON-105_1,smt-101,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-113,SAT,12,45,36,9,0,0,0,0
FASTJSON-105_1,smt-237,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-103,SAT,18,44,40,9,0,0,0,0
FASTJSON-105_1,smt-238,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-231,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-105,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-24,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-234,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-236,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-102,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-245,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-241,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-253,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-23,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-246,SAT,43,68,101,9,0,0,0,0
FASTJSON-105_1,smt-240,UNSAT,61,93,156,9,8,2,7,4
FASTJSON-105_1,smt-230,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-248,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-242,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-243,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-25,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-239,SAT,88,340,269,25,0,0,0,0
FASTJSON-105_1,smt-252,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-232,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-249,SAT,84,317,252,25,0,0,0,0
FASTJSON-105_1,smt-250,SAT,57,153,144,35,0,0,0,0
FASTJSON-105_1,smt-254,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-26,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-260,UNSAT,43,68,101,9,5,3,6,4
FASTJSON-105_1,smt-256,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-258,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-233,UNSAT,288,1679,1047,50,7,3,7,4
FASTJSON-105_1,smt-261,SAT,88,340,269,25,0,0,0,0
FASTJSON-105_1,smt-265,SAT,14,41,36,9,0,0,0,0
FASTJSON-105_1,smt-262,SAT,57,153,144,35,0,0,0,0
FASTJSON-105_1,smt-267,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-263,UNSAT,43,68,101,9,5,3,6,4
FASTJSON-105_1,smt-268,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-27,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-255,UNSAT,289,1564,1044,50,6,3,6,3
FASTJSON-105_1,smt-270,SAT,29,68,69,9,0,0,0,0
FASTJSON-105_1,smt-244,UNSAT,284,1564,1025,50,3,46,3,29
FASTJSON-105_1,smt-257,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-271,UNSAT,9,19,20,9,2,2,3,3
FASTJSON-105_1,smt-274,SAT,17,41,39,9,0,0,0,0
FASTJSON-105_1,smt-259,SAT,15,46,40,9,0,0,0,0
FASTJSON-105_1,smt-1,UNSAT,299,1564,1085,50,6,2,6,4
FASTJSON-105_1,smt-269,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-251,SAT,84,317,252,25,0,0,0,0
FASTJSON-105_1,smt-289,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-279,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-28,SAT,9,32,25,9,0,0,0,0
FASTJSON-105_1,smt-283,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-280,SAT,43,68,101,9,0,0,0,0
FASTJSON-105_1,smt-284,UNSAT,9,19,20,9,2,2,3,3
FASTJSON-105_1,smt-286,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-285,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-272,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-273,SAT,19,69,57,9,0,0,0,0
FASTJSON-105_1,smt-247,UNSAT,290,1679,1056,50,6,3,6,3
FASTJSON-105_1,smt-288,SAT,43,68,101,9,0,0,0,0
FASTJSON-105_1,smt-275,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-278,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-290,SAT,13,39,33,9,0,0,0,0
FASTJSON-105_1,smt-276,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-292,SAT,10,29,26,9,0,0,0,0
FASTJSON-105_1,smt-291,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-294,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-293,SAT,84,317,252,25,0,0,0,0
FASTJSON-105_1,smt-266,UNSAT,238,1633,899,50,6,2,6,4
FASTJSON-105_1,smt-296,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-298,SAT,8,29,24,9,0,0,0,0
FASTJSON-105_1,smt-287,UNSAT,196,1058,755,50,10,3,9,4
FASTJSON-105_1,smt-309,UNSAT,9,19,20,9,2,2,3,3
FASTJSON-105_1,smt-281,SAT,43,68,101,9,0,0,0,0
FASTJSON-105_1,smt-30,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-29,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-303,SAT,15,46,40,9,0,0,0,0
FASTJSON-105_1,smt-302,SAT,43,68,101,9,0,0,0,0
FASTJSON-105_1,smt-264,UNSAT,317,1679,1134,50,3,46,3,29
FASTJSON-105_1,smt-299,SAT,57,153,144,35,0,0,0,0
FASTJSON-105_1,smt-308,SAT,19,46,44,9,0,0,0,0
FASTJSON-105_1,smt-31,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-295,SAT,29,68,69,9,0,0,0,0
FASTJSON-105_1,smt-282,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-277,UNSAT,289,1564,1044,50,6,3,6,3
FASTJSON-105_1,smt-297,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-310,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-311,SAT,40,68,92,9,0,0,0,0
FASTJSON-105_1,smt-323,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-316,SAT,12,47,38,9,0,0,0,0
FASTJSON-105_1,smt-306,SAT,88,340,269,25,0,0,0,0
FASTJSON-105_1,smt-307,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-317,UNSAT,15,37,35,9,2,2,3,3
FASTJSON-105_1,smt-319,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-304,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-305,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-313,SAT,80,305,240,25,0,0,0,0
FASTJSON-105_1,smt-33,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-322,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-315,SAT,84,317,252,25,0,0,0,0
FASTJSON-105_1,smt-318,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-312,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-321,SAT,57,153,144,35,0,0,0,0
FASTJSON-105_1,smt-325,SAT,14,39,36,9,0,0,0,0
FASTJSON-105_1,smt-327,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-324,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-3,UNSAT,312,1702,1124,50,4,46,4,30
FASTJSON-105_1,smt-328,SAT,82,310,245,25,0,0,0,0
FASTJSON-105_1,smt-34,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-331,SAT,18,49,46,9,0,0,0,0
FASTJSON-105_1,smt-329,SAT,88,340,269,25,0,0,0,0
FASTJSON-105_1,smt-35,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-32,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-37,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-38,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-39,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-300,UNSAT,384,1748,1272,50,3,46,3,29
FASTJSON-105_1,smt-40,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-41,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-42,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-44,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-4,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-326,SAT,31,41,71,9,0,0,0,0
FASTJSON-105_1,smt-45,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-46,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-330,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-105_1,smt-47,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-48,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-5,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-49,SAT,16,55,46,9,0,0,0,0
FASTJSON-105_1,smt-320,SAT,88,340,269,25,0,0,0,0
FASTJSON-105_1,smt-50,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-51,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-314,UNSAT,276,1679,1007,50,7,3,7,4
FASTJSON-105_1,smt-36,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-53,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-54,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-55,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-56,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-57,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-58,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-59,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-61,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-43,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-60,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-62,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-63,SAT,16,55,46,9,0,0,0,0
FASTJSON-105_1,smt-65,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-66,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-68,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-64,SAT,16,55,46,9,0,0,0,0
FASTJSON-105_1,smt-7,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-70,SAT,13,37,32,9,0,0,0,0
FASTJSON-105_1,smt-71,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-72,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-73,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-6,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-74,SAT,11,37,29,9,0,0,0,0
FASTJSON-105_1,smt-76,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-77,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-78,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-79,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-8,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-67,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-81,SAT,13,37,32,9,0,0,0,0
FASTJSON-105_1,smt-82,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-83,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-99,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-52,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-69,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-75,SAT,12,45,36,9,0,0,0,0
FASTJSON-105_1,smt-85,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-86,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-80,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-97,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-87,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-88,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-89,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-9,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-90,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-92,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-94,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-95,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-93,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-96,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-98,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-127,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-126,UNSAT,18,47,42,9,8,2,7,4
FASTJSON-105_1,smt-128,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-84,UNSAT,15,37,35,9,2,2,3,3
FASTJSON-105_1,smt-129,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-13,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-131,UNSAT,12,27,29,9,7,2,6,3
FASTJSON-105_1,smt-130,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-132,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-134,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-133,SAT,19,47,44,9,0,0,0,0
FASTJSON-105_1,smt-135,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-91,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-137,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-136,SAT,19,44,42,9,0,0,0,0
FASTJSON-105_1,smt-138,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-139,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-14,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-140,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-142,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-143,SAT,18,44,40,9,0,0,0,0
FASTJSON-105_1,smt-146,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-145,SAT,19,44,42,9,0,0,0,0
FASTJSON-105_1,smt-147,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-148,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-149,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-15,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-150,SAT,19,44,42,9,0,0,0,0
FASTJSON-105_1,smt-152,SAT,7,19,17,9,0,0,0,0
FASTJSON-105_1,smt-151,UNSAT,18,47,42,9,8,2,7,4
FASTJSON-105_1,smt-154,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-155,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-156,SAT,15,37,37,9,0,0,0,0
FASTJSON-105_1,smt-158,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-159,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-144,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-160,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-163,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-166,SAT,10,29,26,9,0,0,0,0
FASTJSON-105_1,smt-167,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-168,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-17,SAT,8,27,22,9,0,0,0,0
FASTJSON-105_1,smt-170,UNSAT,27,68,66,9,8,10,8,7
FASTJSON-105_1,smt-153,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-173,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-174,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-175,UNSAT,15,37,35,9,2,2,3,3
FASTJSON-105_1,smt-178,SAT,19,49,46,9,0,0,0,0
FASTJSON-105_1,smt-161,UNSAT,229,1633,878,50,4,46,4,30
FASTJSON-105_1,smt-169,UNSAT,207,1173,801,50,2,2,3,3
FASTJSON-105_1,smt-162,SAT,23,49,50,9,0,0,0,0
FASTJSON-105_1,smt-18,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-181,SAT,12,47,38,9,0,0,0,0
FASTJSON-105_1,smt-171,UNSAT,290,1679,1056,50,6,3,6,3
FASTJSON-105_1,smt-164,UNSAT,228,1518,866,50,3,46,3,29
FASTJSON-105_1,smt-182,SAT,8,29,24,9,0,0,0,0
FASTJSON-105_1,smt-19,SAT,5,19,15,9,0,0,0,0
FASTJSON-105_1,smt-185,SAT,12,32,29,9,0,0,0,0
FASTJSON-105_1,smt-186,SAT,10,27,24,9,0,0,0,0
FASTJSON-105_1,smt-172,UNSAT,15,37,35,9,2,2,3,3
FASTJSON-105_1,smt-188,SAT,8,29,24,9,0,0,0,0
FASTJSON-105_1,smt-165,UNSAT,319,1679,1143,50,3,46,3,29
FASTJSON-105_1,smt-183,UNSAT,289,1564,1044,50,6,3,6,3
FASTJSON-105_1,smt-190,SAT,8,29,24,9,0,0,0,0
FASTJSON-105_1,smt-184,UNSAT,289,1564,1044,50,6,3,6,3
FASTJSON-105_1,smt-179,SAT,29,68,69,9,0,0,0,0
FASTJSON-105_1,smt-195,SAT,19,67,55,9,0,0,0,0
FASTJSON-105_1,smt-196,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-197,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-198,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-199,SAT,15,44,38,9,0,0,0,0
FASTJSON-105_1,smt-20,SAT,9,22,22,9,0,0,0,0
FASTJSON-105_1,smt-200,SAT,12,34,31,9,0,0,0,0
FASTJSON-105_1,smt-176,UNSAT,289,1564,1044,50,6,3,6,3
FASTJSON-105_1,smt-180,UNSAT,212,1426,830,50,5,2,6,3
FASTJSON-105_1,smt-201,SAT,10,29,26,9,0,0,0,0
FASTJSON-105_1,smt-235,UNKNOWN,204,1173,792,50,0,0,0,0
